Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,year,month
1,US-2015-112280,13/01/2015,16/01/2015,First Class,JE-15745,Joel Eaton,Consumer,United States,Edmonds,Washington,21395,West,TEC-CO-10499914,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1769.733,2015,1
2,US-2015-112280,15/10/2015,21/10/2015,Second Class,JE-15745,Joel Eaton,Consumer,United States,Milwaukee,Wisconsin,53209,Central,TEC-CO-14661907,Technology,Copiers,Sharp AL-1530CS Digital Copier,3350.331,2015,10
3,US-2017-149615,22/02/2017,02/03/2017,Standard Class,EB-13870,Emily Burns,Consumer,United States,Norwich,Connecticut,15695,East,TEC-CO-12094235,Technology,Copiers,Canon Image Class D660 Copier,1027.538,2017,2
4,CA-2017-183320,23/10/2017,26/10/2017,Second Class,IM-15070,Irene Maddox,Consumer,United States,Phoenix,Arizona,85023,West,FUR-FU-17606962,Furniture,Furnishings,Howard Miller 13.75 Diameter Brushed Chrome Round Wall Clock,570.964,2017,10
5,CA-2017-189733,18/04/2017,20/04/2017,First Class,JH-15910,Jonathan Howell,Consumer,United States,Aurora,Colorado,70589,West,OFF-LA-13684531,Office Supplies,Labels,Avery 473,2689.561,2017,4
6,CA-2015-151856,28/04/2015,05/05/2015,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Pittsburgh,Pennsylvania,84341,East,TEC-MA-18375710,Technology,Machines,Canon imageCLASS MF7460,2250.696,2015,4
7,CA-2016-111915,15/05/2016,19/05/2016,Second Class,DW-13585,Dorothy Wardle,Corporate,United States,Dover,Delaware,57447,East,FUR-TA-18279821,Furniture,Tables,Chromcraft Rectangular Conference Tables,3014.138,2016,5
8,CA-2016-101504,17/11/2016,23/11/2016,Second Class,VW-21775,Victoria Wilson,Corporate,United States,Bristol,Tennessee,88104,South,OFF-SU-19281590,Office Supplies,Supplies,Staple remover,402.702,2016,11
9,CA-2017-166542,25/11/2017,27/11/2017,First Class,JE-16165,Justin Ellison,Corporate,United States,Eagan,Minnesota,10425,Central,TEC-MA-12997281,Technology,Machines,Zebra GX420t Direct Thermal Printer,3047.074,2017,11
10,US-2017-140306,24/11/2017,28/11/2017,Second Class,RB-19465,Rick Bensley,Home Office,United States,Pasadena,California,52487,West,OFF-BI-16089806,Office Supplies,Binders,Avery Heavy-Duty EZD Binder,844.569,2017,11
11,CA-2015-127760,13/02/2015,13/02/2015,Same Day,AB-10060,Adam Bellavance,Home Office,United States,Salem,Oregon,82063,West,FUR-BO-17099076,Furniture,Bookcases,O Sullivan Living Dimensions 2-Shelf Bookcases,2643.918,2015,2
12,CA-2016-102757,31/12/2016,05/01/2017,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Baltimore,Maryland,25860,East,FUR-TA-15672134,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,806.941,2016,12
13,CA-2016-128080,04/01/2016,09/01/2016,Standard Class,AA-10375,Allen Armold,Consumer,United States,Lakeland,Florida,53309,South,FUR-TA-18143903,Furniture,Tables,Bush Advantage Collection Round Conference Table,2532.287,2016,1
14,US-2018-195561,05/05/2018,08/05/2018,Same Day,DP-13000,Darren Powers,Consumer,United States,Garland,Texas,66498,South,OFF-FA-17835373,Office Supplies,Fasteners,Bagged Rubber Bands,2287.787,2018,5
15,CA-2015-136509,01/02/2015,03/02/2015,Same Day,EH-13945,Eric Hoffmann,Consumer,United States,Aurora,Colorado,80292,West,OFF-ST-13078418,Office Supplies,Storage,SAFCO Boltless Steel Shelving,3060.952,2015,2
16,CA-2015-128016,15/08/2015,20/08/2015,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,Amarillo,Texas,40982,South,FUR-FU-18075854,Furniture,Furnishings,Longer-Life Soft White Bulbs,3158.745,2015,8
17,US-2016-138890,13/07/2016,21/07/2016,Standard Class,JD-15895,Jonathan Doherty,Corporate,United States,Green Bay,Wisconsin,82845,Central,TEC-CO-13185957,Technology,Copiers,Canon PC1080F Personal Copier,206.575,2016,7
18,CA-2015-108981,10/06/2015,15/06/2015,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Edmond,Oklahoma,30635,Central,FUR-CH-13117625,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,2363.894,2015,6
19,CA-2016-187782,25/07/2016,31/07/2016,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Jackson,Mississippi,64948,South,TEC-MA-13426900,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,836.923,2016,7
20,CA-2018-127938,09/03/2018,14/03/2018,First Class,NK-18490,Neil Knudson,Home Office,United States,Jacksonville,Florida,91416,South,TEC-PH-19020008,Technology,Phones,Cisco SPA 501G IP Phone,465.333,2018,3
21,US-2017-186951,05/02/2017,10/02/2017,Second Class,HA-14920,Helen Andreada,Consumer,United States,Billings,Montana,90173,West,TEC-PH-15022741,Technology,Phones,GE 30524EE4,3073.688,2017,2
